Case Study, Number of Tests, Attach Prior Runtime, Set Breakpoint, Stepping, Show Call Stack, Show Variables, Trace Output
commons-lang3-3.11-SNAPSHOT-jar-with-dependencies,10,10,0,0,0,0,0
tracker-server,4,4,0,0,0,0,0
google-java-format-1.10-SNAPSHOT-jar-with-dependencies,8,8,0,0,0,0,0
sootclasses-trunk,2,2,0,0,0,0,0
commafeed-jar-with-dependencies,4,4,0,0,0,0,0
webmagic-core-0.7.3-jar-with-dependencies,1,1,0,0,0,0,0
scribejava-core-6.9.1-SNAPSHOT-jar-with-dependencies,5,5,0,0,0,0,0
pushy-0.14.1-SNAPSHOT,10,10,0,0,0,0,0
jimfs-HEAD-SNAPSHOT-jar-with-dependencies,6,6,0,0,0,0,0
webcam-capture-0.3.13-SNAPSHOT-jar-with-dependencies,3,3,0,0,0,0,0
jvm-profiler-1.0.0-jar-with-dependencies,10,10,0,0,0,0,0
jsoup-1.14.1-SNAPSHOT-jar-with-dependencies,10,10,0,0,0,0,0
poi-tl-1.7.3-jar-with-dependencies,10,10,0,0,0,0,0
truth-HEAD-SNAPSHOT-jar-with-dependencies,10,10,0,0,0,0,0
pf4j-3.4.0-SNAPSHOT-jar-with-dependencies,10,10,0,0,0,0,0
logback-core-1.3.0-alpha6-SNAPSHOT-jar-with-dependencies,9,9,0,0,0,0,0
docker-maven-plugin-0.33-SNAPSHOT-jar-with-dependencies,10,10,0,0,0,0,0
avro-1.11.0-SNAPSHOT-jar-with-dependencies,10,10,0,0,0,0,0
